dependency,last publish details
@mojaloop/central-ledger@17.7.8,published a month ago by mojaloopci <mojaloopci@mojaloop.io>
@cyclonedx/cyclonedx-library@6.10.1,published 3 weeks ago by cyclonedx-automation <info@cyclonedx.org>
@hapi/basic@7.0.2,published a year ago by marsup <nicolas@morel.io>
@hapi/catbox-memory@6.0.2,published a month ago by marsup <nicolas@morel.io>
@hapi/good@9.0.1,published over a year ago by cjihrig <cjihrig@gmail.com>
@hapi/hapi@21.3.10,published a month ago by marsup <nicolas@morel.io>
@hapi/inert@7.1.0,published a year ago by marsup <nicolas@morel.io>
@hapi/joi@17.1.1,published over a year ago by hueniverse <eran@hammer.io>
@hapi/vision@7.0.3,published 12 months ago by marsup <nicolas@morel.io>
@mojaloop/central-services-error-handling@13.0.1,published 3 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/central-services-health@15.0.0,published 4 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/central-services-logger@11.3.1,published 3 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/central-services-metrics@12.0.8,published 11 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/central-services-shared@18.4.0,published a month ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/central-services-stream@11.3.1,published a month ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/database-lib@11.0.5,published 3 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/event-sdk@14.1.1,published a month ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/ml-number@11.2.4,published 3 months ago by mojaloopci <mojaloopci@mojaloop.io>
@mojaloop/object-store-lib@12.0.3,published 3 months ago by mojaloopci <mojaloopci@mojaloop.io>
@now-ims/hapi-now-auth@2.1.0,published over a year ago by puchesjr <john@nowims.com>
ajv-keywords@5.1.0,published over a year ago by esp <e.poberezkin@me.com>
ajv@8.16.0,published a month ago by esp <e.poberezkin@me.com>
async-retry@1.3.3,published over a year ago by leerobinson <lrobinson2011@gmail.com>
audit-ci@7.0.1,published a month ago by quinnturner <quinnturnertech@gmail.com>
base64url@3.0.1,published over a year ago by brianloveswords <brianloveswords@gmail.com>
blipp@4.0.2,published over a year ago by danielb <daniel@otherware.org>
commander@12.1.0,published 2 months ago by abetomo <abe@enzou.tokyo>
cron@3.1.7,published 3 months ago by intcreator <intcreator@gmail.com>
decimal.js@10.4.3,published a year ago by mikemcl <M8ch88l@gmail.com>
docdash@2.0.2,published 11 months ago by ar2rsawseen <as@count.ly>
event-stream@4.0.1,published over a year ago by right9ctrl <right9ctrl@outlook.com>
five-bells-condition@5.0.1,published over a year ago by interledger <standards+npm@ripple.com>
get-port@5.1.1,published over a year ago by sindresorhus <sindresorhus@gmail.com>
glob@10.4.2,published a month ago by isaacs <i@izs.me>
hapi-auth-bearer-token@8.0.0,published over a year ago by johnbrett <johnbrett7@gmail.com>
hapi-swagger@17.2.1,published 6 months ago by robmcguinness <robert.mcguinness.iii@gmail.com>
ilp-packet@2.2.0,published over a year ago by interledger <standards+npm@ripple.com>
jsdoc@4.0.3,published 2 months ago by hegemonic <jeffrey.l.williams@gmail.com>
jsonpath@1.1.1,published over a year ago by dchester <david@fmail.co.uk>
knex@3.1.0,published 7 months ago by kibertoad <iselwin@gmail.com>
lodash@4.17.21,published over a year ago by bnjmnt4n <benjamin@dev.ofcr.se>
moment@2.30.1,published 7 months ago by ichernev <me@iskren.info>
mongo-uri-builder@4.0.0,published over a year ago by lmammino <lucianomammino@gmail.com>
mysql@2.18.1,published over a year ago by dougwilson <doug@somethingdoug.com>
nodemon@3.1.4,published a month ago by remy <remy@leftlogic.com>
npm-check-updates@16.14.20,published 3 months ago by raine <raine@cybersemics.org>
nyc@17.0.0,published a month ago by bcoe <bencoe@gmail.com>
pre-commit@1.2.2,published over a year ago by 3rdeden <npm@3rd-Eden.com>
proxyquire@2.1.3,published over a year ago by bendrucker <bvdrucker@gmail.com>
rc@1.2.8,published over a year ago by dominictarr <dominic.tarr@gmail.com>
replace@1.2.2,published a year ago by almaclaine <almaclaine@gmail.com>
require-glob@4.1.0,published over a year ago by shannonmoeller <me@shannonmoeller.com>
sinon@17.0.0,published 9 months ago by fatso83 <carlerik@gmail.com>
