type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,npm,10.9.0,,,,,,,,,,,,,,,,,
application,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-npm,3.0.0,,,Create CycloneDX Software Bill of Materials (SBOM) from NPM projects.,git+https://github.com/CycloneDX/cyclonedx-node-npm.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-npm#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-npm/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-library,8.6.0,,,Core functionality of CycloneDX for JavaScript (Node.js or WebBrowser).,git+https://github.com/CycloneDX/cyclonedx-javascript-library.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-javascript-library/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
application,@mojaloop/central-ledger@20.1.0,Apache-2.0,@mojaloop,ModusBox,central-ledger,20.1.0,pkg:npm/%40mojaloop/central-ledger@20.1.0?vcs_url=git%2Bssh%3A%2F%2Fgit%40github.com%2Fmojaloop%2Fcentral-ledger.git,,Central ledger hosted by a scheme to record and settle transfers,git+ssh://git@github.com/mojaloop/central-ledger.git,"as detected from PackageJson property ""repository.url""",https://github.com/mojaloop/central-ledger#readme,"as detected from PackageJson property ""homepage""",https://github.com/mojaloop/central-ledger/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2026-04-21T10:44:13.231Z
library,@hapi/basic@7.0.2,BSD-3-Clause,@hapi,,basic,7.0.2,pkg:npm/%40hapi/basic@7.0.2,node_modules/@hapi/basic,Basic authentication plugin,git://github.com/hapijs/basic.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/basic#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/basic/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@hapi/basic/-/basic-7.0.2.tgz,"as detected from npm-ls property ""resolved""",,,,active,Active in npm registry,2026-04-07T19:44:26.050Z
library,@hapi/boom@10.0.1,BSD-3-Clause,@hapi,,boom,10.0.1,pkg:npm/%40hapi/boom@10.0.1,node_modules/@hapi/boom,HTTP-friendly error objects,git://github.com/hapijs/boom.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/boom#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/boom/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@hapi/boom/-/boom-10.0.1.tgz,"as detected from npm-ls property ""resolved""",,,,active,Active in npm registry,2026-08-02T12:02:11.001Z
library,@hapi/hoek@11.0.7,BSD-3-Clause,@hapi,,hoek,11.0.7,pkg:npm/%40hapi/hoek@11.0.7?vcs_url=git%3A%2F%2Fgithub.com%2Fhapijs%2Fhoek.git,node_modules/@hapi/hoek,General purpose node utilities,git://github.com/hapijs/hoek.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/hoek#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/hoek/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registry,2026-07-31T15:25:44.042Z
library,@hapi/catbox-memory@6.0.2,BSD-3-Clause,@hapi,,catbox-memory,6.0.2,pkg:npm/%40hapi/catbox-memory@6.0.2,node_modules/@hapi/catbox-memory,Memory adapter for catbox,git://github.com/hapijs/catbox-memory.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/catbox-memory#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/catbox-memory/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@hapi/catbox-memory/-/catbox-memory-6.0.2.tgz,"as detected from npm-ls property ""resolved""",,,,active,Active in npm registry,2026-04-07T19:44:31.031Z
library,@hapi/catbox@12.1.1,BSD-3-Clause,@hapi,,catbox,12.1.1,pkg:npm/%40hapi/catbox@12.1.1,node_modules/@hapi/catbox,Multi-strategy object caching service,git://github.com/hapijs/catbox.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/catbox#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/catbox/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@hapi/catbox/-/catbox-12.1.1.tgz,"as detected from npm-ls property ""resolved""",,,,active,Active in npm registry,2026-04-07T19:44:29.468Z
library,@hapi/podium@5.0.2,BSD-3-Clause,@hapi,,podium,5.0.2,pkg:npm/%40hapi/podium@5.0.2,node_modules/@hapi/podium,Node compatible event emitter with extra features,git://github.com/hapijs/podium.git,"as detected from PackageJson property ""repository.url""",https://github.com/hapijs/podium#readme,"as detected from PackageJson property ""homepage""",https://github.com/hapijs/podium/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@hapi/podium/-/podium-5.0.2.tgz,"as detected from npm-ls property ""resolved""",,,,active,Active in npm registry,2026-04-07T19:41:08.968Z
